grid_id,lat,lon,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_dem,litho,acbr,region_tm,region_svl,region_nvl,region_nwap
GRID_00001,-84.753,-179.937,-626.8527028524957,-570095.2345294206,1707.4,42422.93,87.212,-28.946,25.444,244.52,d,Transantarctic Mountains,1,0,0,0
GRID_00002,-84.772,-179.937,-624.5795099743394,-568027.8646016753,2103.03,44422.72,87.212,-28.946,26.151,237.179,s,Transantarctic Mountains,1,0,0,0
GRID_00003,-84.79,-179.937,-622.4259918517687,-566069.3336524371,2238.09,46422.52,87.212,-28.946,36.096,40.269,s,Transantarctic Mountains,1,0,0,0
GRID_00004,-84.827,-179.835,-1618.5679883810233,-562041.5650079198,2353.1,49648.92,87.212,-28.946,14.188,131.962,s,Transantarctic Mountains,1,0,0,0
GRID_00005,-84.836,-179.834,-1625.5404106880585,-561062.3154388554,2593.96,50543.4,87.212,-28.946,32.5,232.607,s,Transantarctic Mountains,1,0,0,0
GRID_00006,-84.845,-179.834,-1622.7033783044262,-560083.1014201391,2777.47,51441.51,87.212,-28.946,32.441,261.442,s,Transantarctic Mountains,1,0,0,0
GRID_00007,-84.704,-114.351,-524235.40738910687,-237263.35105446412,1635.35,331533.21,358.749,-31.828,29.84,257.29,s,Transantarctic Mountains,1,0,0,0
GRID_00008,-84.723,-114.119,-523304.86118314957,-234293.86581456068,1597.79,332642.75,358.749,-31.828,23.26,225.662,g,Transantarctic Mountains,1,0,0,0
GRID_00009,-84.732,-114.16,-522243.5419773803,-234267.45702580633,1750.6,331868.75,358.749,-31.828,25.971,267.551,c,Transantarctic Mountains,1,0,0,0
GRID_00010,-84.735,-114.069,-522316.9053137926,-233304.57671935228,1927.46,332503.56,358.749,-31.828,31.212,288.928,s,Transantarctic Mountains,1,0,0,0
GRID_00011,-84.735,-113.845,-523225.0243205624,-231260.78141250054,2027.3,334548.15,358.749,-31.828,12.114,154.983,s,Transantarctic Mountains,1,0,0,0
GRID_00012,-84.721,-113.673,-525312.0839934134,-230300.69559139787,1774.06,336726.73,358.749,-31.828,24.643,234.014,s,Transantarctic Mountains,1,0,0,0
GRID_00013,-84.742,-113.662,-523263.3470250685,-229282.75651670797,2404.06,335827.3,358.749,-31.828,26.474,228.775,s,Transantarctic Mountains,1,0,0,0
GRID_00014,-84.753,-116.262,-511250.3642949472,-252253.90856387146,1369.83,312028.2,358.749,-31.828,0.238,174.022,c,Transantarctic Mountains,1,0,0,0
GRID_00015,-84.761,-116.306,-510276.16689200373,-252260.68165985242,1365.5,311241.48,358.749,-31.828,3.956,167.611,c,Transantarctic Mountains,1,0,0,0
GRID_00016,-84.769,-116.351,-509297.8632824986,-252274.99901812745,1378.49,310455.99,358.749,-31.828,6.8,22.384,c,Transantarctic Mountains,1,0,0,0
GRID_00017,-84.761,-116.082,-511258.4873316861,-250263.81508481325,1375.35,313265.23,358.749,-31.828,9.884,251.72,c,Transantarctic Mountains,1,0,0,0
GRID_00018,-84.794,-116.26,-507258.4489976445,-250262.2573419329,1389.84,310138.3,358.749,-31.828,1.801,248.533,g,Transantarctic Mountains,1,0,0,0
GRID_00019,-84.802,-116.304,-506285.79527571355,-250266.00578844838,1609.51,309359.71,358.749,-31.828,49.726,169.443,g,Transantarctic Mountains,1,0,0,0
GRID_00020,-84.765,-115.991,-511264.1063785883,-249260.76028729216,1535.42,313886.7,358.749,-31.828,46.076,94.578,g,Transantarctic Mountains,1,0,0,0
GRID_00021,-84.798,-116.169,-507264.67572059826,-249264.346378697,1398.98,310766.02,358.749,-31.828,4.014,263.934,g,Transantarctic Mountains,1,0,0,0
GRID_00022,-84.806,-116.213,-506292.17927073356,-249269.34099262353,1651.29,309989.0,358.749,-31.828,50.102,240.916,g,Transantarctic Mountains,1,0,0,0
GRID_00023,-84.777,-115.945,-510289.95764421526,-248278.95693619325,1866.14,313729.63,358.749,-31.828,42.081,171.751,g,Transantarctic Mountains,1,0,0,0
GRID_00024,-84.794,-116.033,-508245.97867178515,-248250.59253370378,1411.11,312172.4,358.749,-31.828,11.211,165.46,g,Transantarctic Mountains,1,0,0,0
