sample_id,abbr_id,sample_location,acbr,litho,lat,lon,proj_x_epsg3031,proj_y_epsg3031,matrix_position
AV1-1,AV,Shackleton Glacier,Transantarctic Mountains,c,-85.17621667,-174.0884833,-53973.54772745317,-521266.47188468126,0
AV1-8,AV,Shackleton Glacier,Transantarctic Mountains,c,-85.17595,-174.1165333,-53721.32085354675,-521321.6867037365,1
AV2-1,AV,Shackleton Glacier,Transantarctic Mountains,c,-85.1706,-174.1338,-53623.68985202194,-521916.74254531827,2
AV3-1,AV,Shackleton Glacier,Transantarctic Mountains,c,-85.17068333,-174.1483,-53490.68111414727,-521921.2796559875,3
AV3-7,AV,Shackleton Glacier,Transantarctic Mountains,c,-85.16708333,-174.1508333,-53507.51107541638,-522313.1908649276,4
BP1-1,BP,Shackleton Glacier,Transantarctic Mountains,c,-85.21261667,-177.3386167,-24149.629974423875,-519533.0553981218,5
BP1-8,BP,Shackleton Glacier,Transantarctic Mountains,c,-85.20063333,-177.3757667,-23872.443399969645,-520850.6726101858,6
BP2-1,BP,Shackleton Glacier,Transantarctic Mountains,c,-85.21213333,-177.3576,-23979.920125266093,-519593.54521226964,7
BP3-1,BP,Shackleton Glacier,Transantarctic Mountains,c,-85.21436667,-177.4047667,-23541.175846854847,-519370.43842726736,8
BP3-8,BP,Shackleton Glacier,Transantarctic Mountains,c,-85.2049,-177.4135667,-23507.872380191016,-520402.69193250564,9
BPS-1,BPS,Bull Pass,South Victoria Land,g,-77.47965,161.74065,427687.13987981784,-1296290.7557374674,10
BPS-18,BPS,Bull Pass,South Victoria Land,c,-77.475483,161.780483,426929.0580192602,-1297022.8989114575,11
BPS-22,BPS,Bull Pass,South Victoria Land,c,-77.475483,161.787483,426770.59359301045,-1297075.0484556255,12
BPS-25,BPS,Bull Pass,South Victoria Land,c,-77.474317,161.79715,426591.7853614663,-1297268.801991324,13
BPS-5,BPS,Bull Pass,South Victoria Land,c,-77.47415,161.797817,426582.4181301012,-1297291.2081158427,14
BS-607,BS,Battleship Promontory,South Victoria Land,s,-76.922417,161.081533,462442.9717842809,-1349266.1556202539,15
BS-610,BS,Battleship Promontory,South Victoria Land,s,-76.922133,161.077833,462540.238430717,-1349265.8564721367,16
BS-618,BS,Battleship Promontory,South Victoria Land,s,-76.921567,161.080067,462507.8272687512,-1349342.8166740786,17
CB-CMBjA1,CB,The Cloudmaker,Transantarctic Mountains,g,-84.272414,169.320419,115340.72797783984,-611618.2210622167,18
CB-iH5,CB,The Cloudmaker,Transantarctic Mountains,g,-84.26257,169.274083,116034.7478605808,-612577.598467023,19
CK-20B,CK,CTAM: Kyffin,Transantarctic Mountains,c,-83.811847,171.946772,94218.82307591577,-665912.4119000491,20
CK1-100B,CK,CTAM: Kyffin,Transantarctic Mountains,c,-83.82078,171.964511,93876.66183683134,-664978.2780071999,21
CK2-100A,CK,CTAM: Kyffin,Transantarctic Mountains,c,-83.820775,171.964582,93875.91392077706,-664978.9335000317,22
CK2-100B,CK,CTAM: Kyffin,Transantarctic Mountains,c,-83.81118,171.952737,94159.66377341002,-665994.1401928874,23
CM-2 1,CM,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.162,167.083333,117489.22765059909,-512300.05196530506,24
CM-4,CM,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.171731,167.079235,117289.18947756404,-511259.96912325954,25
CM-PA 3-10,CM,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.17185,167.079833,117280.9592153999,-511248.576916768,26
CM-PA 30,CM,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.171731,167.079235,117289.18947756404,-511259.96912325954,27
CM2 (OM),CM,CTAM: Meyers Desert,Transantarctic Mountains,c,-85.161882,167.083086,117494.30534680223,-512312.0560405214,28
CR-0819,CR,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,29
CR-0821,CR,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,30
CR-0826,CR,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,31
CR-0828,CR,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,32
CR-0833,CR,Cape Royds (2007-08),South Victoria Land,a,-77.551,166.163,324583.72870404,-1317793.9931671852,33
CS-CR2,CS,Cape Royds (2012-13),South Victoria Land,a,-77.55312,166.16075,324579.7396510135,-1317554.9886634888,34
CS-CR5,CS,Cape Royds (2012-13),South Victoria Land,a,-77.55379,166.16237,324524.8731478916,-1317492.659325904,35
CS-CR7,CS,Cape Royds (2012-13),South Victoria Land,a,-77.55383,166.16182,324536.4685690278,-1317485.2750430368,36
CS-CR9,CS,Cape Royds (2012-13),South Victoria Land,a,-77.5538,166.16188,324535.87758728967,-1317488.816652168,37
DA-1,DA,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,38
DA-3,DA,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,39
DA-4,DA,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,40
DA-5,DA,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,41
DA-6,DA,Darwin,South Victoria Land,g,-79.87,159.36,388742.6072180415,-1032044.6843028592,42
DS1(1-2),DS,Dais,South Victoria Land,n,-77.551217,161.22075,436899.3300500548,-1284908.494426191,43
DS2(1-2),DS,Dais,South Victoria Land,c,-77.55055,161.25785,436090.7947400892,-1285260.5513467463,44
GE-A1-3,GE,Garwood Elevationanl Transect,South Victoria Land,c,-78.02102,163.89929,362060.9826767912,-1254331.3615225216,45
GE-A2-2,GE,Garwood Elevationanl Transect,South Victoria Land,c,-78.02102,163.89957,362054.85285306006,-1254333.130871291,46
GE-B1-3,GE,Garwood Elevationanl Transect,South Victoria Land,c,-78.01838,163.88684,362413.9937000954,-1254531.1838095346,47
GE-C2-3,GE,Garwood Elevationanl Transect,South Victoria Land,c,-78.0178,163.87904,362602.4623381418,-1254543.0236740983,48
GE-C3-2,GE,Garwood Elevationanl Transect,South Victoria Land,c,-78.0178,163.87984,362584.9455776997,-1254548.0864372833,49
HC-BA1,HC,Hawkins Cirque,South Victoria Land,c,-77.51125,160.58441,452602.95206714846,-1284120.4025464205,50
HC-BA2,HC,Hawkins Cirque,South Victoria Land,c,-77.51149,160.58763,452522.01587357116,-1284120.9544840034,51
HC-Z5-1,HC,Hawkins Cirque,South Victoria Land,c,-77.509267,160.589717,452556.4507269258,-1284367.910992162,52
HC-ZS2,HC,Hawkins Cirque,South Victoria Land,c,-77.509533,160.596333,452398.42629964626,-1284392.5802786725,53
HD-10,HD,Hogg: Durham Point,Transantarctic Mountains,g,-85.53565,-151.18523,-233741.7091660048,-424915.0887538692,54
HD-14,HD,Hogg: Durham Point,Transantarctic Mountains,g,-85.53555,-151.18968,-233713.94703102336,-424942.76992005896,55
HD-6,HD,Hogg: Durham Point,Transantarctic Mountains,g,-85.54578,-151.14393,-233516.30336451,-423781.6937235675,56
HG-3,HG,Hogg: Garden Spur,Transantarctic Mountains,g,-84.5361,-174.9459,-52302.669911726865,-591390.2741740255,57
HG-54,HG,Hogg: Garden Spur,Transantarctic Mountains,g,-84.5362,-174.9438,-52323.38631333717,-591377.5161419689,58
HG-6,HG,Hogg: Garden Spur,Transantarctic Mountains,c,-84.5357,-174.9415,-52351.923607329416,-591429.6182962669,59
HG-8,HG,Hogg: Garden Spur,Transantarctic Mountains,w,-84.5356,-174.952,-52244.49518826418,-591450.0431397047,60
HG-9,HG,Hogg: Garden Spur,Transantarctic Mountains,g,-84.5379,-174.9299,-52450.503183483925,-591180.518238939,61
HK-1,HK,Mount Kyffin,Transantarctic Mountains,s,-83.760833,172.746167,85620.58739991453,-672673.3442372534,62
HK-2,HK,Mount Kyffin,Transantarctic Mountains,s,-83.760833,172.7461,85621.37400428749,-672673.2441145959,63
HK-3,HK,Mount Kyffin,Transantarctic Mountains,s,-83.760817,172.74665,85615.13680750738,-672675.7945768988,64
HK-4,HK,Mount Kyffin,Transantarctic Mountains,s,-83.760717,172.749983,85577.38029861385,-672691.577577423,65
HK-5,HK,Mount Kyffin,Transantarctic Mountains,s,-83.760733,172.750683,85568.94192910475,-672690.8944493945,66
HM-2,HM,Hogg: Masan,Transantarctic Mountains,d,-84.559,175.0087,51437.604560098545,-588964.5164405295,67
HM-3,HM,Hogg: Masan,Transantarctic Mountains,d,-84.559,175.0086,51438.632497019,-588964.4266640766,68
HM-5,HM,Hogg: Masan,Transantarctic Mountains,d,-84.55905,175.0089,51435.07527962859,-588959.2752329244,69
HM-6,HM,Hogg: Masan,Transantarctic Mountains,d,-84.55917,175.0089,51433.93910493129,-588946.2654215725,70
HS-1,HS,Harcourt Spur,Transantarctic Mountains,s,-83.8008,172.217233,91237.30363370117,-667541.718382929,71
HS-2,HS,Harcourt Spur,Transantarctic Mountains,s,-83.800917,172.219133,91213.4420223561,-667532.1191122787,72
HS-3,HS,Harcourt Spur,Transantarctic Mountains,s,-83.800867,172.221833,91182.72215318019,-667541.8118007382,73
HS-4,HS,Harcourt Spur,Transantarctic Mountains,s,-83.8003,172.2103,91325.45825123215,-667584.6229548722,74
HS-7,HS,Harcourt Spur,Transantarctic Mountains,s,-83.805733,172.26245,90638.13182514982,-667081.1831776756,75
HV1-8,HV,Shackleton Glacier,Transantarctic Mountains,d,-85.03005,-177.1751333,-26610.65094130031,-539297.0893023212,76
HV2-5,HV,Shackleton Glacier,Transantarctic Mountains,c,-85.0467,-177.4161667,-24260.039022421475,-537594.8387888371,77
HV3-1,HV,Shackleton Glacier,Transantarctic Mountains,c,-85.03316667,-177.3292167,-25144.44629719729,-539028.0224488863,78
HV3-9,HV,Shackleton Glacier,Transantarctic Mountains,d,-85.02945,-177.1922833,-26452.42247537262,-539370.2232824025,79
HVY-4A,HVY,Hidden Valley,South Victoria Land,c,-78.14,163.901,358400.8121978934,-1241790.0859211169,80
HVY-5A,HVY,Hidden Valley,South Victoria Land,c,-78.14,163.901,358400.8121978934,-1241790.0859211169,81
HVY-9054A,HVY,Hidden Valley,South Victoria Land,c,-78.15421751,163.950428,356897.859734292,-1240598.7150647608,82
HVY-9062A,HVY,Hidden Valley,South Victoria Land,c,-78.14311,163.89069,358529.51617260434,-1241397.5319271814,83
HVY-9130A,HVY,Hidden Valley,South Victoria Land,c,-78.16503243,163.9685377,356177.8196180215,-1239570.2963978068,84
KR-1,KR,Shackleton Glacier,Transantarctic Mountains,s,-85.19783333,-177.1021167,-26375.19049250363,-521034.8853551584,85
KR-2,KR,Shackleton Glacier,Transantarctic Mountains,s,-85.1963,-177.1043,-26363.761548204824,-521202.45948990405,86
KR-4,KR,Shackleton Glacier,Transantarctic Mountains,d,-85.197,-177.06905,-26680.521955845288,-521110.10072175774,87
LC1-5,LC,Cape Hallett,North Victoria Land,b,-72.321,170.228,328499.54998463456,-1907366.4575324103,88
LGP (3-4),LGP,Cape Hallett,North Victoria Land,b,-72.321269,170.228218,328487.21117537667,-1907338.2012960068,89
LGP (BA 1-3),LGP,Cape Hallett,North Victoria Land,b,-72.3212,170.2282,328489.11385051126,-1907345.6665761545,90
LGP-BA LV8,LGP,Luther Vale,North Victoria Land,c,-72.371133,169.884367,338953.08793159976,-1899869.153860984,91
LI-10,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66187,-60.394,-2632739.975851016,1495969.1576423817,92
LI-11,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66989,-60.3792,-2631550.0070103346,1496192.3532518947,93
LI-12,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66989,-60.3792,-2631550.0070103346,1496192.3532518947,94
LI-13,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66989,-60.3792,-2631550.0070103346,1496192.3532518947,95
LI-14,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66989,-60.3792,-2631550.0070103346,1496192.3532518947,96
LI-15,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66989,-60.3792,-2631550.0070103346,1496192.3532518947,97
LI-4,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66357,-60.39202,-2632517.943979671,1495963.3435382298,98
LI-5,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66357,-60.39202,-2632517.943979671,1495963.3435382298,99
LI-6,LI,Livingston Island,North-west Antarctic Peninsula,p,-62.66357,-60.39202,-2632517.943979671,1495963.3435382298,100
