sample_id,ph_mq,ph_kcl,ph_cacl2,d15n_air_permil,d13c_vpdb_permil,wt_percent_n,wt_percent_c,c_n_ratio,log_cec_meq_100g,log_digest_mg_kg_hg1849,log_digest_mg_kg_li6707,log_digest_mg_kg_mo2020,log_digest_mg_kg_p_1774,log_digest_mg_kg_pb2203,log_digest_mg_kg_sb2068,log_digest_mg_kg_se1960,log_digest_mg_kg_sn1899,log_digest_mg_kg_sr4077,log_digest_mg_kg_tl1908,ec_us_cm,total_mg_l_cl,hr_1_mg_l_cl,hr_24_mg_l_cl,total_mg_l_so4,hr_1_mg_l_so4,hr_24_mg_l_so4,total_mg_l_na,total_mg_l_mg2,total_mg_l_ca2,digest_mg_kg_na5895,digest_mg_kg_mg2852,digest_mg_kg_ca3158,log_ec_us_cm,log_total_mg_l_cl,log_hr_1_mg_l_cl,log_hr_24_mg_l_cl,log_total_mg_l_so4,log_hr_1_mg_l_so4,log_hr_24_mg_l_so4,log_total_mg_l_na,log_total_mg_l_mg2,log_total_mg_l_ca2,log_digest_mg_kg_na5895,log_digest_mg_kg_mg2852,log_digest_mg_kg_ca3158,clr_hr_1_mg_l_f,clr_hr_1_mg_l_cl,clr_hr_1_mg_l_no3,clr_hr_1_mg_l_po4,clr_hr_1_mg_l_so4,clr_hr_24_mg_l_f,clr_hr_24_mg_l_cl,clr_hr_24_mg_l_no3,clr_hr_24_mg_l_po4,clr_hr_24_mg_l_so4,clr_total_mg_l_f,clr_total_mg_l_cl,clr_total_mg_l_no3,clr_total_mg_l_po4,clr_total_mg_l_so4,clr_total_mg_l_ca2,clr_total_mg_l_k,clr_total_mg_l_mg2,clr_total_mg_l_na,clr_total_mg_l_sr2,digest_mg_kg_al3082,digest_mg_kg_as1890,digest_mg_kg_b_2496,digest_mg_kg_ba4554,digest_mg_kg_be3130,digest_mg_kg_cd2288,digest_mg_kg_co2286,digest_mg_kg_cr2835,digest_mg_kg_cu3247,digest_mg_kg_fe2599,digest_mg_kg_k_7664,digest_mg_kg_mn2576,digest_mg_kg_ni2316,digest_mg_kg_si2516,digest_mg_kg_ti3349,digest_mg_kg_v_2924,digest_mg_kg_zn2138
AV1-1,6.628,5.766,6.611,-15.49,-34.48,0.14,0.01,0.09,1.4586150226995167,3.8792931808052273,2.7763317085186157,0.5306282510621704,5.992464047441065,2.0451088625993306,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.321793358874887,1.0986122886681098,16361.2,609.95,474.25,135.69,1826.62,1801.62,25.0,2920.45,604.42,619.38,3830.32,4689.76,7450.8,9.702667957100036,6.413376986594747,6.161734608815124,4.910372872157861,7.510222543502355,7.496441539127092,3.2188758248682006,7.979492992977706,6.404269320519532,6.428718977705554,8.250703629598346,8.453136687423068,8.916076688158848,-5.610354533873196,2.591600903468482,4.048873863090794,-4.956428066466533,3.9263078337804505,-1.7156085959386993,2.3705888332528127,2.592006376747674,-3.926078400024939,0.679091785963152,-3.824519590905841,1.7092306481863417,2.994726396109205,-5.39729351896835,2.80607620509395,1.7245726392971488,-0.6734518032627603,1.700122982111127,3.275346654569301,-4.314810612230124,14096.39,2.5,10.84,19.78,0.6,2.5,9.64,15.56,34.34,18172.69,785.24,257.23,15.66,254.52,267.57,31.12,35.74
AV1-8,7.026,6.234,7.028,-7.38,-32.8,0.15,0.02,0.16,2.1041341542702074,3.460723360976182,2.8195915758351173,0.5306282510621704,6.538168766908871,2.127040520479115,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.6251406131469297,1.0986122886681098,6726.0,394.51,354.78,39.72,2698.58,2673.58,25.0,755.85,430.08,749.9,3724.55,5172.65,10958.08,8.813735892300215,5.977644488507119,5.871497879060794,3.681854839176972,7.900480987718946,7.891173677262581,3.2188758248682006,6.627842943794716,6.06397123789473,6.6199398643073435,8.222701318146976,8.551140408715895,9.301832362674011,-5.32552394267838,2.5861947649089685,2.8050560899303716,-4.6715974752717155,4.605870563110756,-3.46890128755994,2.2531743801435864,2.240506361734815,-2.8149748201532763,1.790195365834815,-5.207588163229,2.1563506863980093,2.354157581111888,-4.514440982669055,4.079187185609836,2.798646062198234,0.04321822064798475,2.2426774357856205,2.8065491416856068,-6.758757167539125,20239.52,2.5,0.5,22.95,0.7,2.5,11.48,17.66,42.81,21816.37,1286.43,270.66,17.27,564.17,416.17,52.1,41.42
AV2-1,7.791,7.198,7.731,-12.88,-25.96,0.03,0.03,1.13,1.7749523509116738,3.0717669598299886,2.6616571615324998,0.33647223662121295,5.906723318652891,2.0228711901914416,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.807550983831435,1.0986122886681098,4724.3,159.78,157.28,2.5,8756.53,5778.82,2977.71,434.46,389.27,3465.85,1856.86,4948.31,13499.01,8.460474680804674,5.073797869053896,5.058027656398856,0.9162907318741551,9.077554986733231,8.66195478857538,7.998909827709659,6.074103880628784,5.964273190254786,8.150713191785675,7.526642168096059,8.506801383126245,9.510371628404167,-5.162008164665234,1.9362403202601772,2.1936820892269235,-4.50808169725857,5.540167452436702,0.18599731540233022,-0.6658615563124359,-2.9684466493064816,-2.9684466493064816,6.4167575395230685,-2.888888861798322,0.3964884392930337,0.6393879840686036,-5.370456610320808,4.400245556972369,3.4734037620248124,-0.3408033103887904,1.286963760493923,1.3967944508679215,-2.993135171212745,17176.94,2.5,0.5,28.93,0.6,2.5,11.33,16.9,40.46,20805.17,1116.3,261.83,16.0,668.29,333.6,46.62,38.17
AV3-1,7.186,6.322,7.095,-17.97,-29.75,0.05,0.03,0.68,1.7047480922384253,2.738902664584975,2.3683728335320486,0.4054651081081644,5.915015374944575,1.958685340544036,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.482470101790892,1.0986122886681098,4766.4,441.2,383.02,58.18,1237.91,1212.91,25.0,393.94,360.39,478.12,1851.3,4895.21,9712.57,8.469346581959018,6.089498287379348,5.948087207138413,4.063541653067055,7.121179752702083,7.1007777099836265,3.2188758248682006,5.976198613437549,5.887186778401394,6.16986174700978,7.523643373995131,8.496012454963697,9.181176201857138,-2.4277571209844315,2.151690660272812,2.15437620557909,-5.182690907985492,3.304381163118025,-0.5030449291117778,1.8306126584453102,1.3057087961616483,-3.619223355741636,0.9859468302464554,-1.7432494608730766,2.087615621041408,2.034722536434314,-4.695029846897885,3.119297086364143,2.1679790806718406,-0.9117497173624645,1.8853041120634542,1.9743159470996092,-5.9192053585413404,17235.53,2.5,0.5,17.56,0.5,2.5,11.18,17.56,44.81,20309.38,1006.99,247.5,17.86,485.13,336.93,47.9,36.83
AV3-7,6.776,5.233,6.474,0.59,-24.86,0.02,0.06,3.27,1.5686159179138452,2.3589654264301534,2.431857428698185,0.4054651081081644,5.944215694507371,2.377692565480851,0.9162907318741551,1.3862943611198906,0.9162907318741551,4.170842533194826,1.0986122886681098,860.2,101.96,49.26,52.69,50.0,25.0,25.0,96.64,26.17,64.91,896.91,2838.32,9380.24,6.757164920349636,4.6245805795079145,3.897112392692392,3.9644256842211942,3.912023005428146,3.2188758248682006,3.2188758248682006,4.570992734186505,3.2646137165420543,4.173001695045377,6.798955522576798,7.950967606825161,9.14636062802689,-2.500856561885406,3.4364766593335405,-1.846930094478742,-1.846930094478742,2.7582400915093492,0.34390293710859154,2.775771753231643,-2.5749482921094415,-2.5749482921094415,2.0302218938786494,-0.19026410579234532,2.8761718556690195,-2.4415559043988404,-2.4415559043988404,2.1636142815892505,2.424592971206482,0.5400774447756487,1.5162049927031591,2.82258401034761,-7.269869641701141,15099.8,2.5,0.5,21.76,0.9,2.5,9.68,13.57,11.28,16716.57,1624.75,684.03,11.28,47.9,406.99,25.15,49.0
BP1-1,7.845,7.175,7.608,-3.97,-29.64,0.08,0.03,0.35,1.9021075263969205,1.9960599327407849,2.3456445824544927,0.09531017980432487,5.907811162110729,1.7867469274045107,0.9162907318741551,1.3862943611198906,0.9162907318741551,2.933324813425374,1.0986122886681098,11330.6,942.7,838.83,103.88,4963.79,3951.17,1012.62,2932.99,61.12,1210.19,4463.22,3220.68,7628.23,9.33526230937188,6.848748098402105,6.732008063767312,4.643236386794547,8.509924840836563,8.281767016567503,6.920296310476448,7.983777659493289,4.112839144858265,7.098532651057073,8.40362575761108,8.077347796367293,8.939611118337062,-5.6712827708901905,3.1009461214036764,2.9369878787661716,-5.017356303483526,4.650705074203868,-4.382149629509401,2.3013075858117005,1.2306976963068395,-3.7282231621027373,4.578367509493601,-5.28250950101098,2.952532958511015,2.7206395594638852,-4.589362320451035,4.613709700945473,3.202317511165983,1.2730180732454093,0.2166240049671755,4.0875625196022,-9.194532506439126,12107.36,2.5,0.5,20.18,0.5,2.5,9.34,12.62,42.94,16848.91,820.97,201.99,14.21,450.2,310.64,55.47,27.34
BP1-8,9.258,7.543,8.024,4.85,-19.49,0.02,0.15,9.46,2.1041341542702074,1.252762968495368,2.509599262378372,0.18232155679395465,6.042395275776525,2.1041341542702074,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.648057459593681,1.0986122886681098,540.4,190.87,136.12,54.75,50.0,25.0,25.0,300.15,2.56,7.44,1413.0,4290.0,9215.0,6.292309606086044,5.251592568041801,4.913536849632705,4.00277736869661,3.912023005428146,3.2188758248682006,3.2188758248682006,5.704282349697852,0.9400072584914712,2.0068708488450007,7.253470382684528,8.364042011922063,9.128587870103924,0.8979375827701968,2.6259485872162553,-0.7812911089018628,-3.6738826235363407,0.9312875624517507,1.4224845120519256,2.5348901228523713,-2.8541816069641293,-2.8541816069641293,1.7509885790239617,1.5675277887803158,3.077174181771488,-0.6141707180269842,-2.867565566830258,1.7376046191578332,-0.16754753742531214,2.667403701056781,-1.2344111277788417,3.5298639634275393,-7.695879304132559,16090.0,2.5,0.5,28.4,0.7,2.5,10.0,16.6,32.0,20620.0,1169.0,304.1,15.5,694.6,277.7,38.1,41.9
BP2-1,7.13,6.351,6.977,-7.47,-28.21,0.02,0.04,2.22,1.33500106673234,1.252762968495368,2.238579763018133,0.33647223662121295,5.823134648940764,1.8389610707123492,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.0233474405869645,1.0986122886681098,3270.1,366.36,303.9,62.47,2359.71,1808.23,551.47,564.34,155.85,591.45,1441.12,2880.24,5830.34,8.092575844463465,5.903616456534786,5.716698699922747,4.134686441505479,7.766294009113191,7.5001037452506925,6.31258744011516,6.335656906744333,5.048894006213346,6.3825771489917456,7.273175868035433,7.965628902991296,8.6708305966835,-1.4327963652287652,1.9664286292061859,0.8530984933249015,-5.136564431836452,3.749833674534131,0.11454250369243102,1.4119064083915607,-1.007181924851427,-4.109074394233809,3.589807407001242,-0.4091534183434571,2.1905110409680093,0.9445623393790683,-4.4062525961267225,4.053188593546414,2.6694717334249685,-0.1715665493515499,1.335788590646569,2.622551491177556,-8.829101225320859,8608.78,2.5,0.5,20.46,0.4,2.5,10.58,14.57,49.1,23463.07,643.21,189.02,14.37,233.73,514.47,157.39,37.23
BP3-1,7.415,6.891,7.363,-8.01,-26.82,0.06,0.02,0.38,1.8870696490323797,1.252762968495368,2.2741856184723477,0.09531017980432487,6.093750340648732,1.6695918352538475,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.5743099993708003,1.0986122886681098,11460.2,1149.52,1055.25,94.28,14548.75,7601.15,6947.6,2195.3,688.89,5143.14,3526.05,4803.61,14008.02,9.346635442123427,7.047099742920951,6.961532984662608,4.5462690780679305,9.585260358256185,8.936054830616817,8.846151555179858,7.694073990429877,6.535081606598888,8.545419066870489,8.167933543231637,8.477122997556366,9.547385301720237,-1.9815911935002943,2.225644338894784,1.6779636766442296,-6.122183006887715,4.200166184848992,-0.7435788964509036,0.8271606153805551,-0.10522198761486923,-5.105402823807266,5.1270430924924835,-1.8760604960880136,1.606873036892642,1.032660400476348,-6.133373886588254,4.145033652227877,3.10519236084218,-1.8388132776956483,1.0948549005705797,2.2538472844015685,-3.390213975039285,13947.9,2.5,0.5,26.65,0.4,2.5,9.12,13.43,38.88,17855.71,1309.62,213.63,14.83,336.47,246.49,40.68,29.26
BP3-8,9.021,7.394,7.822,-2.93,-23.94,0.02,0.44,25.19,2.151762203259462,1.252762968495368,2.318458442150336,0.4054651081081644,6.009009726323731,1.8991179875485542,0.9162907318741551,1.3862943611198906,0.9162907318741551,3.68987895444702,1.0986122886681098,168.3,180.58,178.08,2.5,50.0,25.0,25.0,78.84,12.97,36.34,1061.75,4441.24,9806.77,5.12574810119676,5.196173892879333,5.182232887527235,0.9162907318741551,3.912023005428146,3.2188758248682006,3.2188758248682006,4.367420482284519,2.5626389983283526,3.592919062968025,6.9676737691933806,8.39868889571435,9.19082824248143,-2.7578806608523747,4.464573055201415,-2.1039541934457104,-2.1039541934457104,2.501215992542381,1.7377612478812785,0.14120596127819185,-2.161379131715854,-2.161379131715854,2.4437910542722374,0.4847619168188433,3.158412296338869,-2.7309087771004092,-2.7309087771004092,1.8742614088876821,1.5551574664275614,3.0939106925986257,0.5248774017878888,2.329658885744055,-7.55922251440271,16354.58,2.5,0.5,26.69,0.5,2.5,10.46,14.44,36.95,20059.76,1161.35,257.27,15.94,656.37,297.11,35.36,40.14
