target,cv_r2_mean,cv_r2_median,cv_r2_std,cv_r2_min,cv_r2_max,cv_rmse_orig_units_mean,cv_rmse_orig_units_median,cv_rmse_orig_units_std,cv_rmse_orig_units_min,cv_rmse_orig_units_max,cv_rmse_log_space_mean,cv_rmse_log_space_median,cv_rmse_log_space_std,cv_rmse_log_space_min,cv_rmse_log_space_max,tier
c_n_ratio,0.3051344676402972,0.3158894863403897,0.01802676739190461,0.2802267527092602,0.3198723724584565,12.099630876339202,12.0064308388524,0.1564844089982183,11.971429145859666,12.315403382317884,12.099630876339202,12.0064308388524,0.1564844089982183,11.971429145859666,12.315403382317884,moderate
clr_hr_1_mg_l_cl,0.03539991926327738,0.0343556279174174,0.014220142999291174,0.0177431588348594,0.0569463701809552,1.33609915008215,1.3368513341009085,0.009862988899996112,1.3211213238548054,1.348301563281434,1.33609915008215,1.3368513341009085,0.009862988899996112,1.3211213238548054,1.348301563281434,weak
clr_hr_1_mg_l_f,-0.025955479577684605,-0.0198666782889493,0.01266573802410185,-0.0460864432116057,-0.0160530274705938,1.4221513213253714,1.4179464845411711,0.008757661353385479,1.4152928938515117,1.436057818886605,1.4221513213253714,1.4179464845411711,0.008757661353385479,1.4152928938515117,1.436057818886605,unusable
clr_hr_1_mg_l_no3,0.1647102096287539,0.1669536828976138,0.007509289780624021,0.1549736679319423,0.1732926322859453,1.5536974438466222,1.551622060951108,0.006980680108428433,1.545707362213249,1.5627391509525703,1.5536974438466222,1.551622060951108,0.006980680108428433,1.545707362213249,1.5627391509525703,weak
clr_hr_1_mg_l_po4,0.2783015152303022,0.2768807571239057,0.012008075306442724,0.2643800797845334,0.2934498849159372,1.4996866345175008,1.5012036788656176,0.012483425065089758,1.483905164848656,1.514123853202459,1.4996866345175008,1.5012036788656176,0.012483425065089758,1.483905164848656,1.514123853202459,weak
clr_hr_1_mg_l_so4,0.05632326669745752,0.0496098021128896,0.020829859828125873,0.042104364783252,0.0929262719984974,1.2584883472261565,1.263019348516406,0.013986135815617676,1.2339010212556,1.2679967097536309,1.2584883472261565,1.263019348516406,0.013986135815617676,1.2339010212556,1.2679967097536309,weak
clr_hr_24_mg_l_cl,0.10433778518867758,0.1034945949411596,0.008776222619483996,0.094742423432161,0.1169191382164125,1.0833105371064602,1.0838307638821707,0.00531207872106451,1.075685350949568,1.089108385994476,1.0833105371064602,1.0838307638821707,0.00531207872106451,1.075685350949568,1.089108385994476,weak
clr_hr_24_mg_l_f,0.013635186275151178,0.0135351620599735,0.004020158875775091,0.0073014077759439,0.0175013658520036,1.174971358350999,1.1750328813181108,0.002392871999092071,1.1726683197140555,1.178739719318472,1.174971358350999,1.1750328813181108,0.002392871999092071,1.1726683197140555,1.178739719318472,weak
clr_hr_24_mg_l_no3,0.00703152520038954,0.0051658869756238,0.010363897671327343,-0.0024782391186028,0.0235733540652782,1.0933466023634957,1.0943852052162593,0.005716864784084686,1.0842131991822883,1.098581688762184,1.0933466023634957,1.0943852052162593,0.005716864784084686,1.0842131991822883,1.098581688762184,weak
clr_hr_24_mg_l_po4,0.2534520420722307,0.260063509387778,0.01598631744648905,0.2311909336028019,0.2674941072344139,1.205367131345824,1.2000726405652653,0.012876401331785808,1.1940317453976397,1.2232622121614718,1.205367131345824,1.2000726405652653,0.012876401331785808,1.1940317453976397,1.2232622121614718,weak
