target,rf_r2,rf_r2_sd,xgb_r2,xgb_r2_sd,better_model,rf_tier,xgb_tier
d15n_air_permil,0.665,0.015,0.66,0.007,tie,strong,strong
wt_percent_n,0.389,0.012,0.491,0.012,xgb,moderate,moderate
log_total_mg_l_na,0.29,0.03,0.468,0.01,xgb,weak,moderate
digest_mg_kg_k_7664,0.374,0.01,0.459,0.023,xgb,moderate,moderate
digest_mg_kg_na5895,0.4,0.02,0.432,0.03,xgb,moderate,moderate
log_digest_mg_kg_sr4077,0.374,0.021,0.426,0.019,xgb,moderate,moderate
digest_mg_kg_mg2852,0.436,0.013,0.421,0.014,tie,moderate,moderate
digest_mg_kg_ni2316,0.441,0.026,0.414,0.03,rf,moderate,moderate
digest_mg_kg_cr2835,0.33,0.005,0.406,0.018,xgb,moderate,moderate
clr_total_mg_l_po4,0.367,0.021,0.405,0.019,xgb,moderate,moderate
log_digest_mg_kg_p_1774,0.381,0.013,0.393,0.008,tie,moderate,moderate
clr_total_mg_l_k,0.231,0.021,0.383,0.006,xgb,weak,moderate
c_n_ratio,0.305,0.018,0.383,0.007,xgb,moderate,moderate
digest_mg_kg_ti3349,0.404,0.007,0.347,0.025,rf,moderate,moderate
log_digest_mg_kg_ca3158,0.256,0.012,0.338,0.022,xgb,weak,moderate
log_digest_mg_kg_mo2020,0.226,0.022,0.336,0.009,xgb,weak,moderate
d13c_vpdb_permil,0.356,0.006,0.335,0.02,rf,moderate,moderate
wt_percent_c,0.275,0.006,0.332,0.006,xgb,weak,moderate
clr_hr_1_mg_l_po4,0.278,0.012,0.324,0.021,xgb,weak,moderate
digest_mg_kg_al3082,0.164,0.008,0.301,0.011,xgb,weak,moderate
