target,cv_r2_mean,cv_r2_std,cv_of_r2,model,flag_reason
ec_us_cm,-0.22547636725725528,0.01875928903562283,0.08319847114717607,rf,low mean R2 (-0.225)
clr_total_mg_l_mg2,-0.15910989881530888,0.015257361765064637,0.0958919707615114,rf,low mean R2 (-0.159)
log_digest_mg_kg_hg1849,-0.11485518041544789,0.015112190621475773,0.1315760470430048,rf,low mean R2 (-0.115)
digest_mg_kg_as1890,-0.09391522095135588,0.011537561787242603,0.1228508187529961,rf,low mean R2 (-0.094)
log_digest_mg_kg_sn1899,-0.08278918903234897,0.0094579391375556,0.11424123424931744,rf,low mean R2 (-0.083)
digest_mg_kg_b_2496,-0.06387792228948005,0.006331484770502284,0.09911851455984198,rf,low mean R2 (-0.064)
hr_24_mg_l_so4,-0.0341149500282269,0.0006860515539098184,0.0201099973279215,rf,low mean R2 (-0.034)
log_hr_24_mg_l_so4,-0.031586920802400296,0.016098903233035058,0.509669914764585,rf,low mean R2 (-0.032); high R2 variability (CV=0.51)
digest_mg_kg_cu3247,-0.030279951073340437,0.01739112810786598,0.5743446568240249,rf,low mean R2 (-0.030); high R2 variability (CV=0.57)
log_digest_mg_kg_tl1908,-0.028474204075130082,0.003968194305689442,0.1393610263949516,rf,low mean R2 (-0.028)
clr_hr_1_mg_l_f,-0.025955479577684605,0.01266573802410185,0.48797934887673206,rf,low mean R2 (-0.026); high R2 variability (CV=0.49)
clr_total_mg_l_f,-0.0025293536743945396,0.007051176837571586,2.7877385867199656,rf,low mean R2 (-0.003); high R2 variability (CV=2.79)
clr_hr_24_mg_l_no3,0.00703152520038954,0.010363897671327343,1.4739188690887708,rf,low mean R2 (0.007); high R2 variability (CV=1.47)
clr_hr_24_mg_l_f,0.013635186275151178,0.004020158875775091,0.29483710707358984,rf,low mean R2 (0.014); high R2 variability (CV=0.29)
log_digest_mg_kg_sb2068,0.02765753695786724,0.005811173556599147,0.2101117523751929,rf,low mean R2 (0.028)
clr_hr_1_mg_l_cl,0.03539991926327738,0.014220142999291174,0.4016998709384811,rf,low mean R2 (0.035); high R2 variability (CV=0.40)
clr_hr_1_mg_l_so4,0.05632326669745752,0.020829859828125873,0.369826912561983,rf,low mean R2 (0.056); high R2 variability (CV=0.37)
