raw_col,r2_raw,r2_log,selected_transform,delta_r2,winner_note
digest_mg_kg_na5895,0.317573,0.030341,raw,-0.287233,Na: raw won as expected (validates revert from v5)
digest_mg_kg_mg2852,0.292798,-0.012156,raw,-0.304954,
digest_mg_kg_ca3158,0.134704,-0.09298,raw,-0.227684,
total_mg_l_ca2,0.004052,-0.128725,raw,-0.132777,
hr_24_mg_l_so4,-0.001207,-0.00092,log,0.000287,
hr_24_mg_l_cl,-0.018871,-0.001105,log,0.017766,
total_mg_l_so4,-0.04532,0.030992,log,0.076312,
total_mg_l_na,-0.046707,0.014718,log,0.061426,
total_mg_l_cl,-0.049329,0.160285,log,0.209614,
hr_1_mg_l_cl,-0.059831,0.088149,log,0.147981,
hr_1_mg_l_so4,-0.135839,0.03682,log,0.172659,
total_mg_l_mg2,-0.159921,-0.048155,log,0.111766,
ec_us_cm,-0.38197,-0.414131,raw,-0.032161,
