target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_max_depth,best_min_samples_leaf,best_max_features,best_max_samples,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,100,,3,sqrt,0.8,0.6422639155942813,6.37460928319213,6.37460928319213,strong,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,100,30.0,1,sqrt,,0.43969927140320897,5111.274785223553,5111.274785223553,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,100,,3,sqrt,0.8,0.4259239312860159,19.999111361245156,19.999111361245156,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,100,30.0,5,sqrt,0.8,0.401934950900085,497.8238015833494,497.8238015833494,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,100,15.0,1,sqrt,0.8,0.3967364255211,2440.9684152025307,2440.9684152025307,moderate,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,100,30.0,5,sqrt,,0.37948506287983164,0.07342883156869176,0.07342883156869176,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,100,15.0,3,0.75,,0.3715246451150417,2307.6312240682296,2307.6312240682296,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,100,30.0,5,sqrt,,0.3674833083117246,0.8072643513337179,1771.2961049656815,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,100,15.0,1,sqrt,0.8,0.366083961848199,8.548850392736083,8.548850392736083,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,100,30.0,5,0.5,0.8,0.3594163226790863,0.9775258669367376,58.31606527306665,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,100,30.0,3,0.5,0.8,0.3376606390659137,1.4915171203327997,1.4915171203327997,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,100,30.0,3,sqrt,,0.32559564619709347,10.997467623048369,10.997467623048369,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,100,30.0,3,0.5,0.8,0.31987237245845657,11.971429145859666,11.971429145859666,moderate,28,171,predicted
ph_mq,ph_mq,False,raw,none,100,30.0,5,sqrt,,0.2900140288092524,1.0168126445868269,1.0168126445868269,weak,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,100,,3,0.75,0.8,0.2887173907961633,1.5676940577606864,1744.114360860016,weak,28,171,predicted
clr_hr_1_mg_l_po4,clr_hr_1_mg_l_po4,False,raw,none,100,30.0,5,0.5,0.8,0.2768807571239057,1.5012036788656176,1.5012036788656176,weak,28,171,predicted
wt_percent_c,wt_percent_c,False,raw,none,100,30.0,5,0.5,0.8,0.26898165693062537,0.4506132664808095,0.4506132664808095,weak,28,171,predicted
digest_mg_kg_co2286,digest_mg_kg_co2286,False,raw,none,100,30.0,5,sqrt,,0.2521879315023676,4.833241867196591,4.833241867196591,weak,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,100,15.0,5,0.75,,0.24906587885232545,0.9644748912580994,8814.661228339975,weak,28,171,predicted
ph_kcl,ph_kcl,False,raw,none,100,30.0,5,sqrt,,0.2460547361697193,1.0465396856740716,1.0465396856740716,weak,28,171,predicted
clr_hr_24_mg_l_po4,clr_hr_24_mg_l_po4,False,raw,none,100,,3,sqrt,,0.24232877705101163,1.2143691011589675,1.2143691011589675,weak,28,171,predicted
clr_total_mg_l_ca2,clr_total_mg_l_ca2,False,raw,none,100,15.0,1,sqrt,0.8,0.232373826750911,1.0598551783502181,1.0598551783502181,weak,28,171,predicted
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,True,log1p,expm1,100,15.0,3,sqrt,0.8,0.21760020318691276,0.24956417176753398,0.4230530247263958,weak,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,100,30.0,5,0.5,0.8,0.21745863448458436,1.156608537859458,1.156608537859458,weak,28,171,predicted
digest_mg_kg_fe2599,digest_mg_kg_fe2599,False,raw,none,100,30.0,5,sqrt,,0.20969461959906732,6567.868621835411,6567.868621835411,weak,28,171,predicted
log_hr_24_mg_l_cl,hr_24_mg_l_cl,True,log,exp,100,30.0,1,sqrt,,0.20782073356567776,1.602419715967084,71.86029125700793,weak,28,171,predicted
log_digest_mg_kg_pb2203,digest_mg_kg_pb2203,True,log1p,expm1,100,30.0,5,sqrt,0.8,0.19217099113954716,0.7068507012687036,14.766017341924842,weak,28,171,predicted
log_cec_meq_100g,cec_meq_100g,True,log1p,expm1,100,,3,sqrt,0.8,0.17385587049611695,0.5206329862799987,3.042593338559175,weak,28,171,predicted
log_hr_1_mg_l_cl,hr_1_mg_l_cl,True,log,exp,100,,3,sqrt,0.8,0.16978331625777243,2.1345023888279457,702.220111341798,weak,28,171,predicted
clr_hr_1_mg_l_no3,clr_hr_1_mg_l_no3,False,raw,none,100,30.0,1,sqrt,,0.16923864746111905,1.5494926259697153,1.5494926259697153,weak,28,171,predicted
digest_mg_kg_al3082,digest_mg_kg_al3082,False,raw,none,100,,5,0.5,,0.15834206498990944,5929.097746281908,5929.097746281908,weak,28,171,predicted
clr_total_mg_l_no3,clr_total_mg_l_no3,False,raw,none,100,,5,0.5,0.8,0.15325186772516963,1.4861591530150537,1.4861591530150537,weak,28,171,predicted
