target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.17570353849048187,0.14140298409811378,0.12982802278973812,0.08509124853498751,0.07009730515051103,0.11285646318920842,0.03202717075788883,0.06537436391062472,0.041648976077767505,0.0072080691490047045,0.0,0.039717968627018166,0.0025592442644488816,0.0036983346603394474,0.0,0.003160051795612623,0.003326476235480189,0.0006148420299173019,0.02549804559767916,0.050777873945157405,0.00027229221926809445,0.009136728476752273
ph_kcl,0.13265127064503984,0.09118076159011353,0.11775623266651461,0.06244047497348444,0.11176899768147909,0.11084134520391291,0.058240375029046325,0.08508648871256015,0.06182913987276449,0.005326540219713347,0.000267995807575671,0.06049962513247648,0.0050119720819325085,0.009456911396078689,0.0,0.00421826586880032,0.01868009021352029,0.0022388004485163733,0.01648554573103457,0.03817588099627925,0.00040291999173158223,0.007440365737425631
ph_cacl2,0.11173423261318495,0.09074479449185929,0.12380028193574134,0.06571413280898898,0.14373246405592977,0.15190726777828023,0.04027910634293209,0.08992498131481258,0.04199705135436504,0.005411335929257837,0.0,0.056694955991012215,0.0005955538467581453,0.0041930578588126885,0.0,0.006341533672554418,0.008373989728989222,0.002366586286498948,0.01118060736456062,0.030858034487276753,0.0,0.014150032138184901
d15n_air_permil,0.1162064526414425,0.12705372648453897,0.20886342549268178,0.12399603283031807,0.05483520170529251,0.07308626113505161,0.03733352837566301,0.043433376590276795,0.03768206334207477,0.0778027687329892,0.012080032978903102,0.009990861195022892,0.0020108809067752,0.00599084252713828,7.639233190665035e-05,0.004372062268637498,0.004839684153604086,0.0012741961271447498,0.016816450015617924,0.036846775994313345,0.0044122792277626255,0.0009967049428441035
d13c_vpdb_permil,0.138499451580664,0.11575475785545185,0.1211008623888071,0.09211917744737282,0.07401306449725334,0.114875685873806,0.07400005793082229,0.04863865855027653,0.0938142924017647,0.00497901299761257,0.0010700993664186273,0.05504709760749806,0.001902481078199042,0.008593380316955453,0.0003068419378652816,0.0015666928270443342,0.010412589903176133,0.016567061843553624,0.01130194288630743,0.013042124411859916,0.0016165082650214859,0.0007781580322694107
wt_percent_n,0.045299889160782536,0.11456055203195312,0.29695720991252883,0.14922575911967778,0.03754629446959315,0.14139320205709263,0.02740111599064991,0.07059181362506421,0.020245583072057056,0.06145205973778698,0.0,0.008062876952703885,0.0021402232781728018,0.002011399875052042,0.0,0.010160211223470458,0.0003811995360578417,0.0005397022322073586,0.0008878934885311542,0.002482940613985522,0.0,0.008660073622632734
wt_percent_c,0.03619342291215178,0.03372693008625308,0.41103310882222244,0.2367882701614364,0.0706655502290875,0.0899472784382289,0.02791989865254545,0.031922453718788386,0.028562042949112295,0.012405366111422105,0.0,0.0038625521813800663,5.575586394020647e-05,0.0005509199236255727,0.0,7.279936528472894e-05,0.0006720296474247216,0.00013524102032079857,0.0025472799071103065,0.010616205953942156,0.0023228940557228515,0.0
c_n_ratio,0.13105135303695203,0.048310022962528856,0.28908789814346997,0.09226233235872566,0.012704836723040593,0.12066401896841038,0.042083945029548965,0.06499307643404374,0.11491278616033616,0.0005748292895872907,0.0,0.06804961779708422,8.511372323621325e-05,0.0002750995658791519,0.0,7.431834011304251e-05,0.0012750797119046033,0.0010681472160496564,0.0020466661287177243,0.009969528200315353,0.00034490568699709913,0.00016642452305937658
log_cec_meq_100g,0.08403965881542501,0.17508588392454325,0.13855198701622912,0.11574153623238352,0.08569207645456023,0.10088264344712272,0.06964860027059894,0.05665906682909234,0.0670467052758501,0.01815989524902776,0.0034952833413482887,0.010430708192829614,0.005558809024584055,0.015265570111904301,0.00034878092922270944,0.003354196912444506,0.013778142587039223,0.008149916327484462,0.012509747734906831,0.01049357093727014,0.0026566536158388054,0.0024505667702941257
log_digest_mg_kg_hg1849,0.10575554267980247,0.11666016652929301,0.1284816335957395,0.10511881289515607,0.05394794811010219,0.0796783137366456,0.08280580731358995,0.11854024383209184,0.07690917707385553,0.044514415656357366,0.00026574590961893254,0.022610832425711817,0.0033619944734361185,0.009029755825353989,0.0,0.0029518875438099197,0.010129922670055783,0.00865272345373593,0.006897274632251567,0.007211035444808112,0.004999950314203771,0.01147681588438066
log_digest_mg_kg_li6707,0.12342805503483806,0.133038817852275,0.0825760907249498,0.09213349601212856,0.12718466201231632,0.08626551150347099,0.06273858161502245,0.04923222097770192,0.07235555856487724,0.001102125765708216,0.0012152889638030796,0.016348403475224378,0.0025129877302228236,0.010979869557065971,0.00033863330124811344,0.015317102413654233,0.03629058048907052,0.012392897546456843,0.022101641158868226,0.009562350511174258,0.0017879755591943497,0.04109714923072866
log_digest_mg_kg_mo2020,0.07825106933204591,0.10560285212430319,0.24651602858906177,0.08855095802801274,0.06986447533642148,0.1008690310892089,0.05317368236567975,0.05266100912394523,0.03665067188406606,0.09984884172731698,0.00407660597608757,0.015244993060028262,0.004544321129142256,0.003922905971206555,0.0,0.005139518401060485,0.002809667146624258,0.002462892649998491,0.0068800573293107395,0.01296354151665988,0.0025342679567440436,0.00743260926307541
log_digest_mg_kg_p_1774,0.09719989685139091,0.12386723789079829,0.25198518750946114,0.10777550420554181,0.06924657143904756,0.10432683922063152,0.032796237883802905,0.06119390413488749,0.04808810988740498,0.06117053645507358,0.0,0.006388947211865233,8.273594153055567e-05,0.005542330600414571,0.0,0.006215507045445434,0.004520492900967515,0.0004304571275276728,0.004690836452805892,0.009184607194092828,0.002389537860902788,0.0029045221864073367
