target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_max_depth,best_min_samples_leaf,best_max_features,best_max_samples,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,100,,1,sqrt,0.8,0.6816008925479542,6.013926515303826,6.013926515303826,strong,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,100,15.0,1,sqrt,,0.4512366203745919,19.553231325446035,19.553231325446035,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,100,,3,sqrt,,0.42021105541683357,5199.4044422925635,5199.4044422925635,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,100,30.0,5,sqrt,0.8,0.41134703946806084,493.8909994105866,493.8909994105866,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,100,30.0,5,sqrt,,0.3941978995486489,0.7900328803633501,1738.1929847637368,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,100,,1,sqrt,0.8,0.39381050764797,0.9509211924193974,57.071455050114416,moderate,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,100,30.0,5,sqrt,,0.3920339510492269,0.07268255089670737,0.07268255089670737,moderate,28,171,predicted
digest_mg_kg_na5895,digest_mg_kg_na5895,False,raw,none,100,15.0,3,sqrt,,0.3873578593267316,2459.869352375003,2459.869352375003,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,100,30.0,5,0.75,,0.37643798555764874,2298.5931409613595,2298.5931409613595,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,100,15.0,3,0.75,,0.3641222935734424,1.4614190357547052,1.4614190357547052,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,100,15.0,1,sqrt,,0.35304941015738234,8.636293707978197,8.636293707978197,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,100,,3,sqrt,,0.3346912721134363,10.923054984306583,10.923054984306583,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,100,15.0,3,0.5,,0.3158894863403897,12.0064308388524,12.0064308388524,moderate,28,171,predicted
