target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.19315085408883495,0.12434914399760305,0.11989234142954935,0.10472016761126751,0.07259870210471162,0.07618130218614876,0.02906648198397968,0.08153599585653443,0.03967180280676968,0.006195240602540752,0.0,0.042035373804407285,0.0014952780889761984,0.0043573951460827666,0.0,0.0030116806180200233,0.005929505154843393,0.001380175916755978,0.025561798705109495,0.06019520903073011,0.0,0.008671550867134921
ph_kcl,0.158663465829343,0.09113896783347317,0.11323038718101493,0.08527519809437738,0.10421175212596247,0.08289167188970734,0.044958520956494684,0.07713955801611888,0.044818949458114724,0.0018250721543703907,0.0,0.09095917291704847,0.0014845633873024275,0.005292988713873426,0.0,0.004604988103831382,0.014454274244448067,0.00487285507953916,0.013084837029916132,0.05362169614743228,0.0,0.0074710808376317024
ph_cacl2,0.14140991027465666,0.07962421091249526,0.1272269890264084,0.07580842024764665,0.12267666820101741,0.13123618786795666,0.03457966829216349,0.10743492464143686,0.03983040459470931,0.0055681528660141075,0.0,0.05048843469878284,0.0009424192089416392,0.00450746585959054,0.0,0.00832065609247601,0.012363211949442602,0.004053630381228383,0.009757635670359505,0.02701034283953295,4.530476090852882e-06,0.017156135899049987
d15n_air_permil,0.10836045093846197,0.10571532062186854,0.1773678572582081,0.14375606758631956,0.04324324157453169,0.08803547346036614,0.03756187875472716,0.0468907526501781,0.03796935024376727,0.09048793238033748,0.013233193637814047,0.0075289738689179354,0.0010539377420010151,0.006074170792972533,0.0003110226679556128,0.003997830859833431,0.001640568962349892,0.0012973259351619288,0.016728520909503348,0.053873878307036785,0.0030870567633939534,0.01178519408429337
d13c_vpdb_permil,0.13487312516874003,0.11473329187637689,0.12998587628478392,0.11729023486685645,0.06451848104489624,0.0846753522914311,0.0725255684234861,0.05528178678886819,0.08678892006530149,0.007429050073116661,0.00018245772700739893,0.05808047705577482,0.0029911076405079455,0.00784260365613458,0.00038982996770362753,0.001815479978523052,0.009098043787635781,0.018088422329388065,0.011910195564846114,0.018189703334628788,0.003004689009695216,0.0003053030642977087
wt_percent_n,0.022208451423012733,0.07245332833774701,0.39545665527727664,0.28751451177568293,0.009761340146846965,0.06382867791175992,0.012344963475642201,0.052381302577779856,0.013383049693742486,0.06623139395937419,0.0,0.002328530113188748,6.156207341686366e-05,0.0003783840441801147,0.0,0.0,4.138748791007948e-06,4.1101776117333106e-05,0.0002663756718167453,0.0013149493264032518,0.0,4.1283667221064895e-05
wt_percent_c,0.02304955471707228,0.04368464761075371,0.3685045893709595,0.300249478187376,0.05480452630694436,0.0867698077525228,0.016561519231765992,0.03743085271215391,0.04251806654909254,0.0035188286633431693,0.0,0.008190459338408522,4.2505981984931264e-05,0.0008165528684272805,0.0,0.0057872226693545786,0.0006101949028981965,0.0007793447495855821,0.0010063305800941216,0.005675517807262546,0.0,0.0
c_n_ratio,0.09350732490361645,0.05424379058783896,0.33308469976628513,0.09077595436568865,0.015631120623975585,0.0953768035018883,0.033567971596513486,0.09602683136871906,0.10462004113283598,0.0002496561829150198,0.0,0.06113978621231765,0.0002882412787224436,0.004639659600447126,0.0,7.310051649925365e-05,0.000852800411492354,0.0007255006381395188,0.0018059116846710307,0.013355427241540246,3.274843634957485e-05,2.6299495441872863e-06
log_cec_meq_100g,0.0947515178141543,0.1755131745889854,0.1348734528825716,0.16116146535865666,0.07913395432625132,0.09482949472336061,0.04545978052742483,0.04713143051815869,0.0660340369770854,0.015278035733752537,0.0019604456286912795,0.015535902258982248,0.002155348263974387,0.017062145842421855,0.0,0.0017292476986577208,0.009648904736430312,0.0086904459296231,0.01333624731831592,0.01167882855621456,0.002113436647121317,0.001922703669165926
log_digest_mg_kg_hg1849,0.09092617839313326,0.1042187545766983,0.12286322405673152,0.12996742762396085,0.07564499082941516,0.07127448927614075,0.07242560342451482,0.11790295718446558,0.08521489664638436,0.06180339604697572,0.0,0.012037741280548037,0.00012247431416141045,0.010708736874951096,0.0,0.0052980596716142815,0.01149938059506687,0.002767077304977777,0.01069471465928958,0.006804130730948695,0.0,0.007825766510021813
