raw_col,r2_raw,r2_log,selected_transform,delta_r2,winner_note
digest_mg_kg_na5895,0.461677,0.413771,raw,-0.047906,Na: raw won
digest_mg_kg_mg2852,0.441451,0.351142,raw,-0.090308,
digest_mg_kg_ca3158,0.154998,0.311995,log,0.156996,
total_mg_l_mg2,0.133258,0.211879,log,0.078621,
hr_24_mg_l_cl,0.119202,0.20565,log,0.086448,
total_mg_l_na,0.111713,0.456993,log,0.345279,
hr_1_mg_l_so4,0.0573,0.206632,log,0.149332,
total_mg_l_so4,0.034113,0.218577,log,0.184463,
total_mg_l_ca2,0.02179,0.156513,log,0.134724,
total_mg_l_cl,0.012248,0.123437,log,0.111189,
hr_24_mg_l_so4,0.00918,-0.00226,raw,-0.011439,
hr_1_mg_l_cl,0.005277,0.168061,log,0.162784,
ec_us_cm,-0.030686,-0.039045,raw,-0.008358,
