target,proj_x_epsg3031,proj_y_epsg3031,wgs84_elev_from_pgc,dist_coast_scar_km,precipitation_racmo,temperature_racmo,slope_dem,aspect_sin,aspect_cos,litho_a,litho_b,litho_c,litho_d,litho_g,litho_n,litho_p,litho_s,litho_w,region_tm,region_svl,region_nvl,region_nwap
ph_mq,0.10262452065944672,0.08049886673688889,0.06391796469688416,0.0818348228931427,0.060152895748615265,0.11963171511888504,0.01993972435593605,0.0371212475001812,0.024584027007222176,0.0,0.0,0.09145337343215942,0.0,0.020962409675121307,0.0,0.0,0.0468723438680172,0.0,0.13878142833709717,0.1116245836019516,0.0,0.0
ph_kcl,0.10208602249622345,0.04380643740296364,0.0494895838201046,0.047780632972717285,0.09817761927843094,0.09579859673976898,0.042011771351099014,0.06977575272321701,0.031978365033864975,0.0,0.0,0.14006847143173218,0.0,0.03181537240743637,0.0,0.0,0.025560244917869568,0.048711374402046204,0.029217053204774857,0.14372271299362183,0.0,0.0
ph_cacl2,0.07208725810050964,0.058543458580970764,0.0766853466629982,0.06118100509047508,0.15454481542110443,0.14571894705295563,0.03732800856232643,0.09106604754924774,0.022135326638817787,0.0,0.0,0.07254886627197266,0.0,0.012583468109369278,0.0,0.0,0.07113099843263626,0.028353793546557426,0.05461405962705612,0.04147855564951897,0.0,0.0
d15n_air_permil,0.06420395523309708,0.05298703536391258,0.13718876242637634,0.15559431910514832,0.043514057993888855,0.029476407915353775,0.017866581678390503,0.01898936554789543,0.018580663949251175,0.16952750086784363,0.0,0.0309887807816267,0.0,0.02416137419641018,0.0,0.0013455464504659176,0.015739811584353447,0.009019998833537102,0.0741361454129219,0.13667967915534973,0.0,0.0
d13c_vpdb_permil,0.05686861649155617,0.07490456104278564,0.057114019989967346,0.13619227707386017,0.06552530080080032,0.14365990459918976,0.03754070773720741,0.01897856406867504,0.06508824229240417,0.0,0.0,0.1732894629240036,0.011097212322056293,0.06158136948943138,0.0,0.0,0.01416457537561655,0.08399522304534912,0.0,0.0,0.0,0.0
wt_percent_n,0.018258897587656975,0.011289188638329506,0.2430514544248581,0.12023673951625824,0.018505936488509178,0.04311715066432953,0.006472953595221043,0.010585015639662743,0.04651293158531189,0.44725853204727173,0.0,0.004157417919486761,0.0,0.0039288923144340515,0.0005985898897051811,0.0,0.001187518355436623,0.0034964780788868666,0.0,0.02134237438440323,0.0,0.0
wt_percent_c,0.040032707154750824,0.03976736590266228,0.17492055892944336,0.22516879439353943,0.1853964924812317,0.06662401556968689,0.02067475952208042,0.051389068365097046,0.047899529337882996,0.0,0.0,0.14812670648097992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c_n_ratio,0.015333936549723148,0.01814252696931362,0.21203844249248505,0.12609116733074188,0.03554295003414154,0.04833142086863518,0.008314617909491062,0.017632216215133667,0.06980850547552109,0.0,0.0004658329125959426,0.42195937037467957,0.0002746226091403514,0.0008883498376235366,0.0,0.0,0.01098710484802723,0.0012086040806025267,0.0018782158149406314,0.01110205426812172,0.0,0.0
log_cec_meq_100g,0.06170704588294029,0.1413774937391281,0.10973264276981354,0.08405203372240067,0.039086125791072845,0.10949444025754929,0.034311674535274506,0.03353042155504227,0.04751552641391754,0.0,0.0,0.03672633692622185,0.014316469430923462,0.0455055795609951,0.0,0.0,0.05626196414232254,0.021619929000735283,0.060691121965646744,0.10407121479511261,0.0,0.0
log_digest_mg_kg_hg1849,0.033994294703006744,0.032617613673210144,0.03878094628453255,0.043533146381378174,0.048451121896505356,0.05129694938659668,0.03645145148038864,0.06027642637491226,0.03853118419647217,0.20199136435985565,0.0,0.03404819220304489,0.01905887946486473,0.053114090114831924,0.010417141951620579,0.0,0.046061355620622635,0.05028093233704567,0.04880388453602791,0.046865079551935196,0.10542582720518112,0.0
log_digest_mg_kg_li6707,0.11505807191133499,0.08080083876848221,0.027531223371624947,0.03427765890955925,0.36843907833099365,0.11905249953269958,0.034281134605407715,0.006397684570401907,0.018017997965216637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19614377617835999,0.0,0.0,0.0,0.0,0.0
