target,raw_col,log_transformed,selected_transform,back_transform,best_n_estimators,best_learning_rate,best_max_depth,best_min_child_weight,best_subsample,best_colsample_bytree,best_reg_alpha,cv_r2,cv_rmse_log_space,cv_rmse_orig_units,tier,n_folds,n_samples,grid
d15n_air_permil,d15n_air_permil,False,raw,none,120,0.05,3,5,0.6,0.5,0.1,0.6486159117648087,6.317761718835165,6.317761718835165,strong,28,171,predicted
wt_percent_n,wt_percent_n,False,raw,none,50,0.05,6,1,1.0,0.7,0.0,0.5099430230797785,0.06525499875296929,0.06525499875296929,strong,28,171,predicted
log_total_mg_l_na,total_mg_l_na,True,log,exp,120,0.1,3,10,0.8,1.0,0.0,0.4749655765277381,1.346896133675656,1699.8929421015646,moderate,28,171,predicted
log_digest_mg_kg_sr4077,digest_mg_kg_sr4077,True,log1p,expm1,200,0.1,3,10,1.0,0.5,0.0,0.4533624850933381,0.9030047627277721,53.01538672682737,moderate,28,171,predicted
digest_mg_kg_k_7664,digest_mg_kg_k_7664,False,raw,none,80,0.1,6,10,1.0,0.7,1.0,0.4363885747885651,2185.3055810089427,2185.3055810089427,moderate,28,171,predicted
digest_mg_kg_ni2316,digest_mg_kg_ni2316,False,raw,none,300,0.03,3,10,1.0,0.5,1.0,0.4226338384328522,20.05633803459286,20.05633803459286,moderate,28,171,predicted
digest_mg_kg_mg2852,digest_mg_kg_mg2852,False,raw,none,300,0.1,3,3,0.8,0.5,0.1,0.4130107089637255,5231.590289057691,5231.590289057691,moderate,28,171,predicted
log_digest_mg_kg_na5895,digest_mg_kg_na5895,True,log,exp,120,0.03,8,3,1.0,0.7,0.0,0.4038022007726364,1.0807668515888544,2245.4219861918555,moderate,28,171,predicted
log_digest_mg_kg_p_1774,digest_mg_kg_p_1774,True,log1p,expm1,50,0.05,6,1,1.0,0.5,1.0,0.390231530922203,0.7926149523452374,1484.8866236907186,moderate,28,171,predicted
digest_mg_kg_cr2835,digest_mg_kg_cr2835,False,raw,none,200,0.1,4,10,0.8,0.5,0.1,0.3890058838875011,10.467694117949467,10.467694117949467,moderate,28,171,predicted
c_n_ratio,c_n_ratio,False,raw,none,200,0.1,6,1,1.0,0.7,0.0,0.38804421674715794,11.355619000135153,11.355619000135153,moderate,28,171,predicted
clr_total_mg_l_po4,clr_total_mg_l_po4,False,raw,none,120,0.03,8,3,1.0,0.7,0.0,0.3879356332709859,1.4337931744975037,1.4337931744975037,moderate,28,171,predicted
clr_total_mg_l_k,clr_total_mg_l_k,False,raw,none,120,0.1,8,10,0.6,0.5,1.0,0.3806812438075039,1.0289395442975156,1.0289395442975156,moderate,28,171,predicted
log_digest_mg_kg_ca3158,digest_mg_kg_ca3158,True,log,exp,50,0.1,6,5,0.6,0.7,0.1,0.3522508938803076,0.8957636150012313,8446.371941407946,moderate,28,171,predicted
log_digest_mg_kg_mo2020,digest_mg_kg_mo2020,True,log1p,expm1,120,0.01,4,1,1.0,1.0,0.0,0.3474189113393338,0.22792140548100176,0.39712213140215097,moderate,28,171,predicted
digest_mg_kg_ti3349,digest_mg_kg_ti3349,False,raw,none,80,0.03,4,3,0.6,0.7,0.1,0.3436926681075887,521.5009134006575,521.5009134006575,moderate,28,171,predicted
wt_percent_c,wt_percent_c,False,raw,none,80,0.1,3,10,0.8,0.7,0.1,0.32539077996822474,0.43287845667138636,0.43287845667138636,moderate,28,171,predicted
d13c_vpdb_permil,d13c_vpdb_permil,False,raw,none,50,0.1,4,1,0.6,0.7,0.1,0.3166496182716868,8.875923853079073,8.875923853079073,moderate,28,171,predicted
clr_hr_24_mg_l_po4,clr_hr_24_mg_l_po4,False,raw,none,120,0.1,8,10,0.6,0.5,1.0,0.3105076445275454,1.1584439872107384,1.1584439872107384,moderate,28,171,predicted
log_cec_meq_100g,cec_meq_100g,True,log1p,expm1,80,0.1,3,10,0.8,0.7,0.1,0.3031563516582977,0.4781580184248335,2.791392499100774,moderate,28,171,predicted
digest_mg_kg_al3082,digest_mg_kg_al3082,False,raw,none,300,0.05,6,10,0.8,0.7,1.0,0.29974758603148344,5408.142250253981,5408.142250253981,weak,28,171,predicted
clr_hr_1_mg_l_po4,clr_hr_1_mg_l_po4,False,raw,none,120,0.03,6,10,0.8,0.5,0.0,0.2956678768702039,1.4815742072132698,1.4815742072132698,weak,28,171,predicted
ph_mq,ph_mq,False,raw,none,50,0.03,6,10,0.8,0.5,0.0,0.2850333938178583,1.020372941598107,1.020372941598107,weak,28,171,predicted
digest_mg_kg_co2286,digest_mg_kg_co2286,False,raw,none,30,0.1,8,10,0.6,0.5,0.0,0.2552378592352089,4.823375685588642,4.823375685588642,weak,28,171,predicted
clr_total_mg_l_ca2,clr_total_mg_l_ca2,False,raw,none,120,0.1,8,10,0.8,0.7,0.1,0.25252275796465806,1.0458529512096335,1.0458529512096335,weak,28,171,predicted
ph_kcl,ph_kcl,False,raw,none,50,0.03,6,10,0.6,0.5,1.0,0.2471439772552051,1.04578343313329,1.04578343313329,weak,28,171,predicted
digest_mg_kg_fe2599,digest_mg_kg_fe2599,False,raw,none,300,0.01,3,10,1.0,0.7,0.1,0.2465584263464573,6412.860278018132,6412.860278018132,weak,28,171,predicted
clr_hr_1_mg_l_no3,clr_hr_1_mg_l_no3,False,raw,none,200,0.01,6,1,1.0,0.5,0.0,0.22035526637763292,1.501065855476633,1.501065855476633,weak,28,171,predicted
log_total_mg_l_mg2,total_mg_l_mg2,True,log,exp,80,0.1,8,10,0.8,0.5,0.0,0.2159551144831825,1.7894491323774824,503.2385429574519,weak,28,171,predicted
log_hr_24_mg_l_cl,hr_24_mg_l_cl,True,log,exp,300,0.03,6,1,0.8,0.5,0.1,0.2076106279518023,1.602632202629847,69.79845540808068,weak,28,171,predicted
clr_total_mg_l_no3,clr_total_mg_l_no3,False,raw,none,80,0.1,8,10,0.6,0.7,0.0,0.20484530285313196,1.440170833436337,1.440170833436337,weak,28,171,predicted
clr_total_mg_l_sr2,clr_total_mg_l_sr2,False,raw,none,30,0.1,6,1,0.8,0.7,0.0,0.19073886195928502,1.2798299027387974,1.2798299027387974,weak,28,171,predicted
log_digest_mg_kg_pb2203,digest_mg_kg_pb2203,True,log1p,expm1,30,0.05,6,1,0.6,0.5,1.0,0.1839746523158532,0.7104275512204485,14.773863007906561,weak,28,171,predicted
