target,r2_knn,r2_rf,r2_xgb,xgb_vs_rf,xgb_vs_knn,tier
d15n_air_permil,,,0.655486,,,strong
wt_percent_n,,,0.494328,,,moderate
log_total_mg_l_na,,,0.477856,,,moderate
digest_mg_kg_k_7664,,,0.457838,,,moderate
clr_total_mg_l_po4,,,0.435695,,,moderate
digest_mg_kg_na5895,,,0.434245,,,moderate
digest_mg_kg_mg2852,,,0.418559,,,moderate
log_digest_mg_kg_sr4077,,,0.408513,,,moderate
log_digest_mg_kg_p_1774,,,0.404239,,,moderate
digest_mg_kg_cr2835,,,0.39738,,,moderate
digest_mg_kg_ni2316,,,0.397361,,,moderate
clr_total_mg_l_k,,,0.384782,,,moderate
c_n_ratio,,,0.372292,,,moderate
log_digest_mg_kg_ca3158,,,0.352018,,,moderate
digest_mg_kg_ti3349,,,0.345823,,,moderate
wt_percent_c,,,0.339448,,,moderate
clr_hr_1_mg_l_po4,,,0.326779,,,moderate
log_digest_mg_kg_mo2020,,,0.323253,,,moderate
d13c_vpdb_permil,,,0.323185,,,moderate
digest_mg_kg_al3082,,,0.303983,,,moderate
clr_hr_24_mg_l_po4,,,0.291191,,,weak
ph_mq,,,0.279531,,,weak
log_cec_meq_100g,,,0.271426,,,weak
clr_total_mg_l_ca2,,,0.260314,,,weak
digest_mg_kg_co2286,,,0.2572,,,weak
log_total_mg_l_so4,,,0.255023,,,weak
digest_mg_kg_fe2599,,,0.248971,,,weak
ph_kcl,,,0.24821,,,weak
log_hr_1_mg_l_so4,,,0.241062,,,weak
clr_hr_1_mg_l_no3,,,0.216526,,,weak
log_hr_24_mg_l_cl,,,0.214381,,,weak
clr_total_mg_l_no3,,,0.20452,,,weak
log_total_mg_l_mg2,,,0.198886,,,weak
log_digest_mg_kg_pb2203,,,0.179957,,,weak
clr_total_mg_l_sr2,,,0.175484,,,weak
log_total_mg_l_ca2,,,0.175069,,,weak
log_hr_1_mg_l_cl,,,0.17373,,,weak
clr_total_mg_l_na,,,0.154594,,,weak
digest_mg_kg_v_2924,,,0.14102,,,weak
digest_mg_kg_mn2576,,,0.131708,,,weak
clr_hr_24_mg_l_so4,,,0.130445,,,weak
clr_hr_24_mg_l_cl,,,0.12565,,,weak
clr_total_mg_l_cl,,,0.12193,,,weak
log_total_mg_l_cl,,,0.118627,,,weak
digest_mg_kg_si2516,,,0.10875,,,weak
ph_cacl2,,,0.108045,,,weak
digest_mg_kg_be3130,,,0.105817,,,weak
digest_mg_kg_ba4554,,,0.097385,,,weak
clr_hr_1_mg_l_so4,,,0.093685,,,weak
log_digest_mg_kg_li6707,,,0.08192,,,weak
digest_mg_kg_cu3247,,,0.07298,,,weak
clr_total_mg_l_so4,,,0.061775,,,weak
digest_mg_kg_zn2138,,,0.051076,,,weak
clr_hr_1_mg_l_cl,,,0.050532,,,weak
clr_hr_24_mg_l_f,,,0.050337,,,weak
log_digest_mg_kg_sb2068,,,0.026054,,,weak
clr_hr_24_mg_l_no3,,,0.011122,,,weak
digest_mg_kg_b_2496,,,0.002546,,,weak
clr_total_mg_l_f,,,0.000478,,,weak
hr_24_mg_l_so4,,,-0.002394,,,unusable
clr_hr_1_mg_l_f,,,-0.007283,,,unusable
log_digest_mg_kg_tl1908,,,-0.01123,,,unusable
log_digest_mg_kg_sn1899,,,-0.018566,,,unusable
digest_mg_kg_as1890,,,-0.027453,,,unusable
ec_us_cm,,,-0.036709,,,unusable
log_digest_mg_kg_hg1849,,,-0.037331,,,unusable
clr_total_mg_l_mg2,,,-0.058556,,,unusable
